city,state_id,state_name,county_name,lat,lng,population,density,zips
Savoy,TX,Texas,Fannin,33.5999,-96.3662,961,466.2,75479
Campti,LA,Louisiana,Natchitoches,31.898,-93.1158,961,356.2,71411
Acalanes Ridge,CA,California,Contra Costa,37.9046,-122.0786,961,805.1,94597
Odin,IL,Illinois,Marion,38.6159,-89.0541,960,369.5,62870
Twinsburg Heights,OH,Ohio,Summit,41.3064,-81.4579,960,377.1,44087
Greeley Hill,CA,California,Mariposa,37.7505,-120.1228,960,15.5,95311
Blades,DE,Delaware,Sussex,38.6353,-75.6024,960,670,19973
Merrill,IA,Iowa,Plymouth,42.7206,-96.2519,960,714.6,51038
Lake Nebagamon,WI,Wisconsin,Douglas,46.512,-91.6995,960,29.6,54849
Lockwood,MO,Missouri,Dade,37.3867,-93.9579,960,381.8,65682
Brook,IN,Indiana,Newton,40.8664,-87.3653,960,547.2,47922
Camden,NC,North Carolina,Camden,36.325,-76.17,960,234.8,27921
Jonestown,MS,Mississippi,Coahoma,34.3222,-90.4541,959,955.8,38639 38617 38645
Buffalo Soapstone,AK,Alaska,Matanuska-Susitna,61.7071,-149.1093,959,16.7,99645
McElhattan,PA,Pennsylvania,Clinton,41.1543,-77.3522,959,110.7,17748 17745
Chualar,CA,California,Monterey,36.5711,-121.5103,959,591.4,93925
Yorkville,OH,Ohio,Belmont,40.1528,-80.7079,959,625,43971
Peña Pobre,PR,Puerto Rico,Naguabo,18.2174,-65.8221,959,1328.4,718
Twin Lakes,NM,New Mexico,McKinley,35.6833,-108.7709,959,41.1,87375
McCloud,CA,California,Siskiyou,41.2541,-122.1361,959,152.9,96057
Kendall,WA,Washington,Whatcom,48.9156,-122.1336,959,134.8,98244 98266
Miamitown,OH,Ohio,Hamilton,39.217,-84.7095,959,276.5,45002 45041
Halaula,HI,Hawaii,Hawaii,20.2233,-155.7739,959,84.6,96755
Colfax,IN,Indiana,Clinton,40.1944,-86.6673,958,547.6,46035
Etna,OH,Ohio,Licking,39.9544,-82.6878,958,601.5,43062 43018
Oakland,SC,South Carolina,Sumter,33.9868,-80.4972,958,543.8,29154
Henderson,NE,Nebraska,York,40.78,-97.8117,958,561.3,68371
Vanceboro,NC,North Carolina,Craven,35.303,-77.1567,958,215.8,28586
Williamsport,OH,Ohio,Pickaway,39.5824,-83.1206,958,208.4,43164
New Madison,OH,Ohio,Darke,39.9671,-84.7082,958,780.5,45346
Royal Hawaiian Estates,HI,Hawaii,Hawaii,19.4413,-155.1841,958,126.6,96785
Henderson,MN,Minnesota,Sibley,44.5278,-93.9091,957,343.9,56044
Kindred,ND,North Dakota,Cass,46.6494,-97.0169,957,254.9,58051
Santa Clara Pueblo,NM,New Mexico,Rio Arriba,35.9726,-106.0927,957,183,87532
Arthurdale,WV,West Virginia,Preston,39.4953,-79.8168,957,74.4,26547 26520
Borden,IN,Indiana,Clark,38.4699,-85.9491,957,265.5,47106
Dale,SC,South Carolina,Beaufort,32.5555,-80.7015,957,155.8,29940 29914
Beach,ND,North Dakota,Golden Valley,46.9189,-104.0055,957,144.8,58621
Port Morris,NJ,New Jersey,Morris,40.9061,-74.6845,957,1119.7,7850
Stephens,AR,Arkansas,Ouachita,33.4221,-93.067,957,134.1,71764
Amity,AR,Arkansas,Clark,34.2662,-93.4634,957,115.1,71921 71920
Greenfields,PA,Pennsylvania,Berks,40.3627,-75.9565,957,499.1,19601
Laurel,NE,Nebraska,Cedar,42.4301,-97.0986,956,272.8,68745
Waitsburg,WA,Washington,Walla Walla,46.2698,-118.1509,956,317.3,99361
Christiana,PA,Pennsylvania,Lancaster,39.9545,-75.997,956,700.1,17509
Kettleman City,CA,California,Kings,36.0089,-119.9629,956,1707.8,93239
Grantsville,MD,Maryland,Garrett,39.6969,-79.1528,956,356,21536
Bayshore,OR,Oregon,Lincoln,44.4419,-124.0754,956,264.7,97394
Boyce,VA,Virginia,Clarke,39.0933,-78.0601,956,484.3,22620
Bromley,KY,Kentucky,Kenton,39.0801,-84.5629,956,863.6,41017 41016
Inman Mills,SC,South Carolina,Spartanburg,35.0408,-82.1024,956,341.9,29349
Guilford Lake,OH,Ohio,Columbiana,40.8032,-80.8772,956,156,44423 44432
Rennerdale,PA,Pennsylvania,Allegheny,40.4002,-80.1396,955,466,15071 15106
Bellaire,MI,Michigan,Antrim,44.9739,-85.2057,955,197.4,49615
Augusta,MI,Michigan,Kalamazoo,42.3378,-85.3525,955,359.2,49012
Carlton,MN,Minnesota,Carlton,46.6628,-92.4067,955,96.9,55718 55733
Ashippun,WI,Wisconsin,Dodge,43.2182,-88.5159,955,358.8,53036 53003 53066
Essex,IL,Illinois,Kankakee,41.1819,-88.1926,955,158.5,60935
McCullom Lake,IL,Illinois,McHenry,42.368,-88.2965,955,1010.8,60050
Inkom,ID,Idaho,Bannock,42.7955,-112.2448,954,382.3,83245
Stover,MO,Missouri,Morgan,38.4417,-92.9902,954,415.2,65078
Norris Canyon,CA,California,Contra Costa,37.7457,-121.9881,954,102,94583
Eagle Lake,WI,Wisconsin,Racine,42.7014,-88.1291,954,169.1,53139
Upper Lake,CA,California,Lake,39.1655,-122.9052,954,214.9,95485
Wister,OK,Oklahoma,Le Flore,34.9696,-94.7212,954,195,74966
Marion,SD,South Dakota,Turner,43.4236,-97.2605,954,424.5,57043
Laupahoehoe,HI,Hawaii,Hawaii,19.9723,-155.2345,954,113.6,96764 96780
Bloomingburg,OH,Ohio,Fayette,39.6079,-83.3953,954,537.5,43106
Allgood,AL,Alabama,Blount,33.9064,-86.5178,953,354.2,35013 35121
Cluster Springs,VA,Virginia,Halifax,36.6128,-78.9221,953,42.9,24520 24592
